question,options,correctOptionIndex
"What is the Spanish word for 'family'?","Familia;Amigos;Vecinos;Conocidos",0
"How do you say 'I like to play football' in Spanish?","Me gusta jugar al fútbol;No me gusta el fútbol;Juego fútbol todos los días;Juego fútbol con mi familia",0
"What does '¿Dónde está la tienda?' mean?","Where is the store?;Where is the school?;Where is the park?;Where is the restaurant?",0
"Which of these means 'I have a dog' in Spanish?","Tengo un gato;Tengo un perro;Tengo un pájaro;Tengo un pez",1
"How do you say 'It is sunny today' in Spanish?","Hoy hace sol;Hoy llueve;Hoy hace frío;Hoy hace calor",0
"What is the correct translation for 'I want a coffee'?","Quiero un café;Quiero un té;Me gusta el jugo;Amo el café",0
"How do you say 'My favorite color is blue' in Spanish?","Mi color favorito es azul;Mi color es rojo;Mi color favorito es verde;Mi color es amarillo",0
"What does '¿Cuánto cuesta este libro?' mean?","How much does this book cost?;Where can I buy this book?;What is this book about?;Do you have this book?",0
"Which of these means 'I am tired' in Spanish?","Estoy feliz;Estoy cansado;Tengo hambre;Estoy contento",1
"How do you say 'I live in Spain' in Spanish?","Vivo en España;Vivo en Italia;Vivo en Austria;Vivo en Alemania",0
"What is the Spanish word for 'apple'?","Pera;Manzana;Plátano;Naranja",1
"How do you ask 'What do you want to eat?' in Spanish?","¿Qué quieres beber?;¿Qué quieres comer?;¿Qué quieres ver?;¿Qué quieres comprar?",1
"What does 'Me gusta el verano' mean?","I like summer;I love winter;I hate autumn;I enjoy spring",0
"Which of these means 'See you tomorrow' in Spanish?","Hasta mañana;Hasta luego;Hasta hoy;Hasta ahora",0
"How do you say 'I am 20 years old' in Spanish?","Tengo 20 años;Soy 20 años;Estoy 20 años;Yo 20 años",0
"What is the correct translation for 'Can I help you?'","¿Puedo ayudarte?;¿Puedes ayudarme?;¿Puedo ayudar a ti?;¿Puedo ayudarme?",0
"How do you say 'This is my friend' in Spanish?","Este es mi amigo;Estos son mis amigos;Esta es mi familia;Estos son mis conocidos",0
"What does 'Me gusta cocinar' mean?","I like to cook;I like to eat;I like to read;I like to sleep",0
"How do you say 'I don't understand' in Spanish?","No entiendo;No hablo;No escucho;No sé",0
"Which of these is the correct way to say 'Good morning' in Spanish?","Buenas noches;Buenos días;Buenas tardes;Adiós",1
"What is the Spanish word for 'friend'?","Amigo;Compañero;Conocido;Vecino",0
"How do you say 'I enjoy reading books' in Spanish?","Disfruto leer libros;Me gusta leer libros;No me gusta leer libros;Amo leer revistas",1
"What does '¿Qué hora es?' mean?","What is your name?;What time is it?;Where are you going?;How are you?",1
"Which of these means 'I have a cat' in Spanish?","Tengo un perro;Tengo un gato;Tengo un pez;Tengo un pájaro",1
"How do you say 'It is raining today' in Spanish?","Hoy llueve;Hoy hace sol;Hoy hace frío;Hoy hay viento",0
"What is the correct translation for 'I would like some water'?","Quisiera un agua;Quiero agua;Me gustaría agua;Me gusta el agua",0
"How do you say 'My favorite food is pizza' in Spanish?","Mi comida favorita es pizza;No me gusta la pizza;Mi comida favorita son las frutas;Me encanta la pizza",0
"What does '¿Dónde está el baño?' mean?","Where is the bathroom?;Where is the kitchen?;Where is the living room?;Where is the store?",0
"Which of these means 'I am happy' in Spanish?","Estoy triste;Estoy cansado;Estoy feliz;Estoy enojado",2
"How do you say 'I study Spanish every day' in Spanish?","Estudio español todos los días;No estudio español nunca;Estudio inglés todos los días;Estudio español a veces",0
"What is the Spanish word for 'car'?","Bicicleta;Coche;Autobús;Tren",1
"How do you ask 'Can I borrow your pen?' in Spanish?","¿Puedo tomar tu bolígrafo?;¿Tienes un bolígrafo?;¿Dónde está tu bolígrafo?;¿Puedes darme tu bolígrafo?",0
"What does 'Me gusta viajar' mean?","I like to travel;I love to stay home;I want to travel tomorrow;I enjoy cooking",0
"Which of these means 'See you later' in Spanish?","Hasta luego;Hasta mañana;Hasta pronto;Adiós",0
"How do you say 'I need to study for my exam' in Spanish?","Necesito estudiar para mi examen;No necesito estudiar para mi examen;Quiero estudiar para mi examen mañana;Debo estudiar para mi examen ahora",0
"What is the correct translation for 'Do you have any questions?'","¿Tienes preguntas?;¿Tienes respuestas?;¿Tienes dudas?;¿Tienes ideas?",0
"How do you say 'This book is interesting' in Spanish?","Este libro es aburrido;Este libro es interesante;Este libro es fácil de leer;Este libro es difícil",1
"What does 'Voy al cine mañana' mean?","I am going to the cinema tomorrow;I went to the cinema yesterday;I want to go to the cinema today;I like going to the cinema",0
"How do you say 'My birthday is in July' in Spanish?","Mi cumpleaños es en julio.;Mi cumpleaños fue en julio.;Mi cumpleaños es en agosto.;Mi cumpleaños será en julio.",0
"What is the Spanish word for 'teacher'?","Maestro;Estudiante;Escuela;Clase",0
"How do you say 'I like to watch movies' in Spanish?","Me gusta ver películas;No me gusta ver películas;Amo ver series;Disfruto leer libros",0
"What does '¿Cuál es tu color favorito?' mean?","What is your favorite color?;What color do you like?;What is your name?;What is your favorite food?",0
"Which of these means 'I have two brothers' in Spanish?","Tengo dos hermanas;Tengo dos hermanos;Tengo un hermano;Tengo tres hermanos",1
"How do you say 'It is cold today' in Spanish?","Hoy hace frío;Hoy hace calor;Hoy está nublado;Hoy llueve",0
"What is the correct translation for 'I would like a sandwich'?","Quisiera un sándwich;Quiero un sándwich;Me gustaría un sándwich;Me encanta el sándwich",0
"How do you say 'My favorite season is spring' in Spanish?","Mi estación favorita es primavera;No me gusta la primavera;Mi estación favorita es invierno;La primavera es muy bonita",0
"What does '¿Dónde vives?' mean?","Where do you live?;Where are you going?;Where are you from?;Where is your house?",0
"Which of these means 'I am tired' in Spanish?","Estoy cansado;Estoy emocionado;Estoy feliz;Estoy aburrido",0
"How do you say 'I play the guitar on weekends' in Spanish?","Toco la guitarra los fines de semana;No toco la guitarra nunca;Toco la guitarra todos los días;Toco el piano los fines de semana",0
"What is the Spanish word for 'beach'?","Montaña;Río;Playa;Lago",2
"How do you ask 'Can I take a picture?' in Spanish?","¿Puedo tomar una foto?;¿Tienes una foto?;¿Dónde está la foto?;¿Puedes tomar una foto?",0
"What does 'Me gusta bailar' mean?","I like to dance;I love to sing;I enjoy reading;I want to dance",0
"Which of these means 'See you soon' in Spanish?","Hasta pronto;Hasta luego;Hasta mañana;Adiós",0
"How do you say 'I need to buy groceries' in Spanish?","Necesito comprar comida.;No necesito comprar comida.;Quiero comprar comida.;Debo comprar comida.",0
"What is the correct translation for 'Do you want some ice cream?'","¿Quieres un helado?;¿Te gusta el helado?;¿Tienes helado?;¿Dónde está el helado?",0
"How do you say 'This restaurant is very good' in Spanish?","Este restaurante es muy bueno.;Este restaurante es malo.;Este restaurante no es bueno.;Me gusta este restaurante.",0
"What does 'Voy a la playa este fin de semana' mean?","I am going to the beach this weekend.;I went to the beach last weekend.;I want to go to the beach next weekend.;I love going to the beach.",0
"How do you say 'My sister lives in Madrid' in Spanish?","Mi hermana vive en Madrid.;Mi hermana vivía en Madrid.;Mi hermana va a Madrid.;Mi hermana quiere vivir en Madrid.",0
