question,options,correctOptionIndex
"What is the Italian word for 'Friend'?","Amico;Compagno;Collega;Cugino",0
"How do you say 'I have a question' in Italian?","Ho una domanda;Ho una risposta;Ho un problema;Ho un'idea",0
"Which of the following is the correct translation for 'I am learning Italian'?","Imparo l'italiano;Sto imparando l'italiano;Ho imparato l'italiano;Imparavo l'italiano",1
"What does 'Che cosa fai?' mean?","What do you want?;What are you doing?;Where are you going?;How are you?",1
"How do you say 'I like pizza' in Italian?","Mi piacciono le pizze;Mi piace la pizza;Amo la pizza;Adoro la pizza",1
"What is the correct form of 'to be' for 'loro'?","siete;è;sei;sono",3
"Which of the following means 'I don't know' in Italian?","Non voglio;Non capisco;Non so;Non parlo",2
"What is the Italian word for 'School'?","Università;Scuola;Istituto;Collegio",1
"How do you say 'I am happy' in Italian?","Ho felicità;Sono contento;Sono felice;Mi sento bene",2
"What does 'Ti voglio bene' mean?","I love you;I care about you;I like you;I miss you",1
"What is the Italian word for 'Good night'?","Buongiorno;Buonanotte;Buonasera;Ciao",1
"How do you say 'I would like to go' in Italian?","Voglio andare;Vorrei andare;Desidero andare;Mi piacerebbe andare",1
"Which of the following is the correct translation for 'I am tired'?","Ho sonno;Sono stanco;Sono felice;Ho fame",1
"What does 'Dove si trova la stazione?' mean?","Where is the restaurant?;Where is the hotel?;Where is the station?;Where is the store?",2
"How do you say 'Can you help me?' in Italian?","Puoi venire?;Puoi dirmi?;Puoi parlare?;Puoi aiutarmi?",3
"What is the correct form of 'to have' for 'noi'?","hai;ha;abbiamo;ho",2
"Which of the following means 'See you later' in Italian?","Arrivederci;Ciao;A dopo;A presto",2
"What is the Italian word for 'Please'?","Scusa;Per favore;Grazie;Mi scusi",1
"How do you say 'What is your name?' in Italian?","Dove sei?;Come stai?;Come ti chiami?;Che ore sono?",2
"What does 'Mi dispiace' mean?","Excuse me;I'm sorry;Thank you;Goodbye",1
"What is the Italian word for 'Water'?","Acqua;Vino;Latte;Succo",0
"How do you say 'Good morning' in Italian?","Buonasera;Buonanotte;Buongiorno;Ciao",2
"Which of the following is the correct translation for 'I am from America'?","Sono americano;Vengo dall'America;Sono di America;Abito in America",1
"What does 'Quanto costa?' mean?","How much is it?;What time is it?;Where is it?;Who is it?",0
"How do you say 'I don't speak Italian' in Italian?","Non parlo italiano;Non capisco italiano;Non so italiano;Non conosco italiano",0
"What is the correct form of 'to go' for 'tu'?","vado;va;vai;andiamo",2
"Which of the following means 'Excuse me' in Italian?","Prego;Scusi;Grazie;Per favore",1
"What is the Italian word for 'Restaurant'?","Negozio;Ristorante;Albergo;Mercato",1
"How do you say 'I am cold' in Italian?","Ho freddo;Sono freddo;Fa freddo;È freddo",0
"What does 'Piacere di conoscerti' mean?","Nice to meet you;How are you?;Where are you from?;What's your name?",0
"What is the Italian word for 'Goodbye'?","Ciao;Arrivederci;A presto;A dopo",1
"How do you say 'I don't understand' in Italian?","Non capisco;Non so;Non parlo;Non voglio",0
"Which of the following is the correct translation for 'She is beautiful'?","Lei è bella;Lui è bello;È bello;Sono belli",0
"What does 'Che ora è?' mean?","What day is it?;What's the weather like?;What time is it?;What's the date?",2
"How do you say 'I'm hungry' in Italian?","Ho fame;Sono affamato;Ho appetito;Voglio mangiare",0
"What is the correct form of 'to want' for 'voi'?","voglio;vuoi;vuole;volete",3
"Which of the following means 'Of course' in Italian?","Certo;Forse;Magari;Probabilmente",0
"What is the Italian word for 'Thank you'?","Prego;Per favore;Grazie;Scusi",2
"How do you say 'How are you?' in Italian?","Come ti chiami?;Dove sei?;Come stai?;Quanti anni hai?",2
"What does 'Non c'è problema' mean?","No problem;I don't know;I don't want to;I don't like it",0
"Mi chiamo Paolo e _____ italiano.","sono;sei;è;siamo",0
"Oggi fa molto _____ e c'è il sole.","freddo;caldo;vento;pioggia",1
"Mi piace mangiare la pasta al _____.","sale;pepe;pomodoro;formaggio",2
"Io _____ il caffè tutte le mattine.","mangio;bevo;cucino;compro",1
"La mia amica _____ in un ufficio a Roma.","studia;lavora;vive;viaggia",1
