question,options,correctOptionIndex,explanation
"How do you ask for directions to the library in Slovenian?","Kje je knjižnica?;Kdaj je knjižnica?;Zakaj je knjižnica?;Kdo je knjižnica?",0,"'Kje je knjižnica?' means 'Where is the library?' which is the correct way to ask for directions."
"What does 'Oprostite, kje je najbližja trgovina?' mean in English?","Excuse me, where is the nearest store?;Sorry, when does the store open?;Pardon, how much is this?;I'm sorry, do you work here?",0,"This phrase translates to 'Excuse me, where is the nearest store?' in English."
"How do you order a coffee in a café in Slovenian?","Prosim, eno kavo.;Želim kavo.;Ali imate kavo?;Kje je kava?",0,"'Prosim, eno kavo.' means 'One coffee, please.' which is the most polite and common way to order."
"What does 'Račun, prosim.' mean in English?","The check, please.;Where is the restroom?;Can I have a menu?;What time do you close?",0,"'Račun, prosim.' translates to 'The check, please.' in English, used when asking for the bill in a restaurant."
"How do you ask for the price of an item in Slovenian?","Koliko stane to?;Kdaj je to?;Kje je to?;Zakaj je to?",0,"'Koliko stane to?' means 'How much does this cost?' which is the correct way to ask for a price."
"How do you say it's 3:15 in Slovenian?","Tri in petnajst minut.;Petnajst do treh.;Četrt na tri.;Pol treh.",0,"'Tri in petnajst minut' is the common way to say 3:15 in Slovenian, literally meaning. Correct answer would also be 'Četrt na tri'."
"Complete the sentence: 'Kaj _____ za glavno jed?'","imate;je;bo;stane",0,"'Kaj imate za glavno jed?' means 'What do you have for the main course?' 'Imate' is the correct verb form here. Jaz imam, Vi imate."
"How do you ask if they accept credit cards in Slovenian?","Ali lahko plačam s kartico?;Ali imate mizo za dva?;Ali imate vegetarijanske jedi?;Ali je vključena postrežnina?",0,"'Ali lahko plačam s kartico?' means 'Can I pay with a card?' which is how you'd ask about credit card acceptance."
"What does 'Na zdravje!' mean when ordering drinks?","Cheers!;Good health!;You're welcome!;Bless you!",0,"'Na zdravje!' is equivalent to 'Cheers!' in English, used when toasting or starting to drink."
"How do you ask for directions to the train station in Slovenian?","Kje je železniška postaja?;Kdaj odpelje vlak?;Koliko stane vozovnica?;Ali je to železniška postaja?",0,"'Kje je železniška postaja?' means 'Where is the train station?' which is how you'd ask for directions to it."
"Complete the sentence: 'Ali imate _____ za dve osebi?'","mizo;hrano;pijačo;račun",0,"'Ali imate mizo za dve osebi?' means 'Do you have a table for two people?' 'Mizo' (table) is the correct word here."
"How do you ask if they have vegetarian options in Slovenian?","Ali imate vegetarijanske jedi?;Ali imate meso?;Ali imate sladice?;Ali imate pijačo?",0,"'Ali imate vegetarijanske jedi?' means 'Do you have vegetarian dishes?' which is how you'd ask about vegetarian options."
