question,options,correctOptionIndex
"Quelle expression utilise-t-on pour exprimer son accord ?","Je suis d'accord;Je ne suis pas sûr;Je n'aime pas;Je ne comprends pas",0,"'Je suis d'accord' means 'I agree' and is used to express agreement."
"Comment dit-on 'I think that' en français ?","Je crois que;Je sais que;Je veux que;Je dois que",0,"'Je crois que' means 'I think that' and is used to introduce an opinion."
"Fill in the blank: Je _____ que ce film est intéressant.","pense;pensons;penses;pensez",0,"'Je pense que' means 'I think that' and is used to express an opinion."
"Which phrase expresses disagreement?","Je ne suis pas d'accord;J'adore ça;C'est génial;Je suis ravi",0,"'Je ne suis pas d'accord' means 'I disagree' and is used to express disagreement."
"Quelle expression utilise-t-on pour exprimer la certitude ?","Je suis sûr que;Je pense que;Je crois que;J'espère que",0,"'Je suis sûr que' means 'I am sure that' and expresses certainty."
"Fill in the blank: À mon _____, c'est une bonne idée.","avis;opinion;pensée;idée",0,"'À mon avis' means 'In my opinion' and is used to introduce a personal viewpoint."
"How do you say 'I hope that' in French?","J'espère que;Je veux que;Je dois que;Je peux que",0,"'J'espère que' means 'I hope that' and is used to express hope or desire."
"Quelle expression exprime le doute ?","Je doute que;Je sais que;Je suis certain que;J'affirme que",0,"'Je doute que' means 'I doubt that' and is used to express doubt. Note that it's followed by the subjunctive mood."
"Fill in the blank: Je suis _____ que tu as raison.","convaincu;sûr;certain;persuadé",0,"All options are correct. 'Je suis convaincu/sûr/certain/persuadé que' all mean 'I am convinced that' and express strong belief."
"Which phrase means 'In my opinion'?","À mon avis;Je pense;Je crois;D'après moi",0,"Both 'À mon avis' and 'D'après moi' mean 'In my opinion'. They are used to introduce a personal viewpoint."
"Comment exprime-t-on la possibilité en français ?","Il est possible que;Il faut que;Il est certain que;Il est interdit que",0,"'Il est possible que' means 'It is possible that' and expresses possibility. It's followed by the subjunctive mood."
"Fill in the blank: Je _____ content de te voir.","suis;es;est;sommes",0,"'Je suis content' means 'I am happy' and expresses a positive emotion."
"Which phrase expresses disappointment?","Je suis déçu;Je suis ravi;Je suis excité;Je suis fier",0,"'Je suis déçu' means 'I am disappointed' and expresses disappointment."
"Quelle expression utilise-t-on pour exprimer la joie ?","Je suis ravi;Je suis triste;Je suis fâché;Je suis inquiet",0,"'Je suis ravi' means 'I am delighted' and expresses joy or happiness."
"Fill in the blank: Il me _____ que tu as tort.","semble;sembles;semblent;semblez",0,"'Il me semble que' means 'It seems to me that' and is used to express a personal impression."
"How do you say 'I'm afraid that' in French?","J'ai peur que;Je suis heureux que;Je suis sûr que;Je suis content que",0,"'J'ai peur que' means 'I'm afraid that' and expresses fear or concern. It's followed by the subjunctive mood."
"Quelle expression exprime l'indifférence ?","Ça m'est égal;J'adore ça;Je déteste ça;C'est passionnant",0,"'Ça m'est égal' means 'It's all the same to me' or 'I don't care' and expresses indifference."
"Fill in the blank: Je _____ que tu viennes à la fête.","souhaite;souhaites;souhaitons;souhaitez",0,"'Je souhaite que' means 'I wish that' and expresses a desire. It's followed by the subjunctive mood."
"Which phrase means 'I don't mind'?","Ça ne me dérange pas;Je m'en fiche;Peu importe;Ça m'est égal",0,"All options are correct. They all express that something doesn't bother you or that you don't have a preference."
"Comment exprime-t-on la surprise en français ?","Je suis surpris;Je suis ennuyé;Je suis fatigué;Je suis occupé",0,"'Je suis surpris' means 'I am surprised' and expresses surprise."
"Fill in the blank: À ce qu'il _____, le concert est annulé.","paraît;paraîs;parais;paraissent",0,"'À ce qu'il paraît' means 'It seems' or 'Apparently' and is used to report information that is not certain."
"Which phrase expresses regret?","Je regrette que;Je suis content que;Je suis sûr que;J'espère que",0,"'Je regrette que' means 'I regret that' and expresses regret. It's followed by the subjunctive mood."
"Quelle expression utilise-t-on pour exprimer l'ennui ?","Je m'ennuie;Je m'amuse;Je m'excite;Je m'inquiète",0,"'Je m'ennuie' means 'I'm bored' and expresses boredom."
"Fill in the blank: Je suis _____ de votre aide.","reconnaissant;reconnaissante;reconnaissants;reconnaissantes",0,"'Je suis reconnaissant(e)' means 'I am grateful' and expresses gratitude. Use 'reconnaissant' for masculine and 'reconnaissante' for feminine."
"How do you say 'I feel like' in French?","J'ai envie de;Je veux;J'aime;Je désire",0,"'J'ai envie de' means 'I feel like' or 'I want to' and expresses a desire or inclination."
"Quelle expression exprime la confusion ?","Je suis perdu;Je suis trouvé;Je suis gagné;Je suis perdu",0,"'Je suis perdu' means 'I am lost' and can express confusion or being overwhelmed."
"Fill in the blank: Je _____ fier de toi.","suis;es;est;sommes",0,"'Je suis fier' means 'I am proud' and expresses pride."
