question,options,correctOptionIndex
"How do you say 'I have a question' in French?","J'ai une réponse;J'ai une question;J'ai un problème;J'ai une idée",1
"Which of the following is the correct translation for 'I am learning French'?","J'ai appris le français;J'apprendais le français;Je vais apprendre le français;J'apprends le français",3
"What is the correct form of 'to be' for 'they' (ils)?","êtes;est;es;sont",3
"Which of the following means 'I don't know' in French?","Je ne veux pas;Je ne comprends pas;Je ne sais pas;Je ne parle pas",2
"How do you say 'I am happy' in French?","J'ai de la joie;Je suis content;Je me sens bien;Je suis heureux",3
"How do you say 'I would like to go' in French?","Je veux aller;Je voudrais aller;Je désire aller;J'aimerais aller",1
"Which of the following is the correct translation for 'I am tired'?","J'ai sommeil;Je suis fatigué;Je suis heureux;J'ai faim",1
"What does 'Où se trouve la gare ?' mean?","Where is the restaurant?;Where is the hotel?;Where is the station?;Where is the store?",2
"How do you say 'Can you help me?' in French?","Peux-tu venir ?;Peux-tu me dire ?;Peux-tu parler ?;Peux-tu m'aider ?",3
"What is the correct form of 'to have' for 'we' (nous)?","tu as;il a;nous avons;j'ai",2
"Which of the following means 'See you later' in French?","Au revoir;Salut;À plus tard;À bientôt",2
"What is the French word for 'please'?","Excusez-moi;S'il vous plaît;Merci;Je vous en prie",1
"How do you say 'What is your name?' in French?","Où es-tu ?;Comment ça va ?;Comment tu t'appelles ?;Quelle heure est-il ?",2
"Which of these is the correct translation for 'I am hungry'?","J'ai soif;J'ai faim;J'ai sommeil;J'ai peur",1
"What is the French word for 'book'?","Cahier;Stylo;Crayon;Livre",3
"What does 'S'il vous plaît' mean?","Thank you;You're welcome;Excuse me;Please",3
"Which of these is the correct translation for 'It's raining'?","Il neige;Il fait beau;Il pleut;Il fait chaud",2
"What is the French word for 'friend'?","Ennemi;Famille;Voisin;Ami",3
"How do you say 'I like to read' in French?","J'aime écrire;J'aime lire;J'aime parler;J'aime écouter",1
"What is the meaning of the French expression 'avoir le coup de foudre'?","To be struck by lightning;To fall in love at first sight;To have a sudden idea;To be very angry",1
"How would you translate 'Il faut que je m'y mette sérieusement' into English?","I need to start taking it seriously;I must finish it quickly;I have to do it reluctantly;I should avoid it entirely",0
"Which of these best expresses 'to beat around the bush' in French?","Tourner autour du pot;Battre le fer pendant qu'il est chaud;Mettre les points sur les i;Avoir le cœur sur la main",0
"What does the French idiom 'avoir un chat dans la gorge' mean?","To have a sore throat;To be very thirsty;To have a frog in one's throat;To be unable to speak",2
"How would you say 'I wish I had studied more' in French using the subjunctive?","J'aurais dû étudier plus;Si j'avais étudié plus;J'aimerais avoir étudié plus;Je souhaite que j'aie étudié plus",3
"What is the correct way to say 'He suggested that we go to the museum' in French?","Il a suggéré que nous allions au musée;Il a suggéré que nous sommes allés au musée;Il a suggéré d'aller au musée;Il a suggéré que nous irons au musée",0
