question,options,correctOptionIndex
"Comment dit-on 'snowflake' en français ?","Flocon de neige;Goutte de neige;Cristal de glace;Étoile blanche",0
"Quelle est la traduction de 'It's freezing!' ?","Il gèle !;Il neige !;Il fait froid !;Il pleut !",0
"Comment dit-on 'to build a snowman' en français ?","Faire un bonhomme de neige;Créer un homme de glace;Construire un homme blanc;Bâtir un géant de neige",0
"Quel mot signifie 'ski lift' en français ?","Télésiège;Ascenseur de neige;Monte-pente;Élévateur ski",0
"Comment dit-on 'winter coat' en français ?","Manteau d'hiver;Veste froide;Blouson de neige;Pardessus glacé",0
"Quelle phrase signifie 'It's snowing' ?","Il pleut;Il neige;Il gèle;Il vente",1
"Comment dit-on 'ice skating' en français ?","Glissade sur glace;Patinage sur glace;Ski sur glace;Course sur glace",1
"Quel mot signifie 'mittens' en français ?","Gants;Moufles;Chaussettes;Écharpes",1
"Comment dit-on 'hot chocolate' en français ?","Café chaud;Thé noir;Chocolat chaud;Lait tiède",2
"Quelle phrase signifie 'Let's go sledding!' ?","Allons skier !;Faisons un bonhomme de neige !;Allons faire de la luge !;Patinons sur le lac !",2
"Comment dit-on 'snowman' en français ?","Homme de glace;Bonhomme de neige;Statue froide;Personnage blanc",1
"Quelle est la traduction de 'It's cold!' ?","Il fait froid !;Il neige !;Il gèle !;Il pleut !",0
"Comment dit-on 'to ski' en français ?","Patiner;Glisser;Skier;Surfer",2
"Quel mot signifie 'scarf' en français ?","Gants;Bonnet;Manteau;Écharpe",3
"Comment dit-on 'hot chocolate' en français ?","Café chaud;Thé noir;Chocolat chaud;Lait tiède",2
"Quelle phrase signifie 'It's snowing' ?","Il pleut;Il neige;Il gèle;Il vente",1
"Comment dit-on 'ice skating' en français ?","Glissade sur glace;Patinage sur glace;Ski sur glace;Course sur glace",1
"Quel mot signifie 'gloves' en français ?","Chaussettes;Gants;Moufles;Écharpes",1
"Comment dit-on 'winter sports' en français ?","Sports d'hiver;Jeux froids;Activités de neige;Loisirs glacés",0
"Quelle phrase signifie 'Let's build a snowman!' ?","Allons skier !;Faisons un bonhomme de neige !;Allons faire de la luge !;Patinons sur le lac !",1
"Comment dit-on 'snowflake' en français ?","Flocon de neige;Goutte de neige;Cristal de glace;Étoile blanche",0
"Quel mot signifie 'sledding' en français ?","Patinage;Ski;Luge;Snowboard",2
"Comment dit-on 'to freeze' en français ?","Fondre;Geler;Refroidir;Glacer",1
"Quelle est la traduction de 'warm clothes' ?","Vêtements chauds;Habits d'hiver;Tenues froides;Manteaux épais",0
"Comment dit-on 'snowball fight' en français ?","Combat de neige;Bataille de boules de neige;Jeu de glace;Guerre froide",1
"Quel mot signifie 'icicle' en français ?","Glaçon;Stalactite;Chandelle de glace;Cristal d'eau",2
"Comment dit-on 'to shiver' en français ?","Trembler;Grelotter;Frissonner;Claquer des dents",1
"Quelle phrase signifie 'It's freezing outside!' ?","Il fait frais dehors !;Il gèle dehors !;Il neige dehors !;Il fait froid dehors !",1
"Comment dit-on 'winter vacation' en français ?","Congés d'hiver;Vacances de Noël;Pause hivernale;Vacances d'hiver",3
"Quel mot signifie 'fireplace' en français ?","Fourneau;Cheminée;Poêle;Foyer",1
"Comment dit-on 'to warm up' en français ?","Réchauffer;Se réchauffer;Chauffer;Être chaud",1
"Quelle est la traduction de 'ice hockey' ?","Hockey sur glace;Patinage de vitesse;Curling;Luge olympique",0
"Comment dit-on 'snowstorm' en français ?","Orage de neige;Tempête de neige;Blizzard;Avalanche",1
"Quel mot signifie 'mittens' en français ?","Gants;Moufles;Mitaines;Manchons",2
"Comment dit-on 'to bundle up' en français ?","S'habiller chaudement;Se couvrir;S'emmitoufler;Mettre des couches",2
"Quelle phrase signifie 'The roads are icy' ?","Les routes sont enneigées;Les routes sont glissantes;Les routes sont verglacées;Les routes sont dangereuses",2
"Comment dit-on 'winter solstice' en français ?","Équinoxe d'hiver;Solstice d'hiver;Jour le plus court;Nuit polaire",1
"Quel mot signifie 'frost' en français ?","Neige;Glace;Givre;Grêle",2
"Comment dit-on 'to shovel snow' en français ?","Balayer la neige;Déblayer la neige;Pelleter la neige;Pousser la neige",2
"Quelle est la traduction de 'winter wonderland' ?","Pays des merveilles hivernales;Paradis blanc;Monde hivernal;Paysage enneigé",0
"Quelle est la bonne conjugaison du verbe 'finir' à la première personne du pluriel au présent ?","Nous finissons;Nous finissent;Nous finisses;Nous finir",0
"Comment dit-on 'I have been living in Paris for 2 years' en français ?","J'habite à Paris depuis 2 ans;J'ai habité à Paris pendant 2 ans;J'habiterai à Paris pour 2 ans;J'habitais à Paris il y a 2 ans",0
"Quelle est la traduction correcte de 'You should eat more vegetables' ?","Tu devrais manger plus de légumes;Tu dois manger plus de légumes;Tu peux manger plus de légumes;Tu vas manger plus de légumes",0
"Comment exprime-t-on 'I wish it wasn't raining' en français ?","J'aimerais qu'il ne pleuve pas;Je souhaite qu'il ne pleut pas;Je veux qu'il ne pleut pas;J'espère qu'il ne pleut pas",0
"Quelle est la bonne façon de dire 'I've just finished my homework' ?","Je viens de finir mes devoirs;J'ai fini mes devoirs maintenant;Je finis mes devoirs;Je vais finir mes devoirs",0
"Comment traduit-on 'What would you like to drink?' en français ?","Qu'est-ce que vous voulez boire ?;Qu'est-ce que vous buvez ?;Qu'est-ce que vous allez boire ?;Qu'est-ce que vous avez bu ?",0
"Quelle est la signification de 'Je suis en train de lire un livre' ?","I am reading a book;I have read a book;I will read a book;I like to read books",0
"Comment dit-on 'If I had more time, I would travel more' en français ?","Si j'avais plus de temps, je voyagerais plus;Si j'ai plus de temps, je voyagerai plus;Si j'aurai plus de temps, je voyagerai plus;Si j'avais eu plus de temps, j'aurais voyagé plus",0
"Que signifie l'expression française 'avoir le trac' ?","To be nervous (before a performance);To be sick;To be excited;To be tired",0
"Quelle est la traduction correcte de 'She asked me to help her' ?","Elle m'a demandé de l'aider;Elle m'a dit de l'aider;Elle m'a fait l'aider;Elle m'a voulu l'aider",0
"Comment exprime-t-on 'I've been living here for two years' en français ?","J'habite ici depuis deux ans;J'ai habité ici pendant deux ans;J'habite ici pour deux ans;Je vais habiter ici deux ans",0
"Quelle est la bonne façon d'exprimer 'You'd better hurry up' en français ?","Tu ferais mieux de te dépêcher;Tu dois te dépêcher;Il faut que tu te dépêches;Tu devrais te dépêcher",0
"Que signifie 'Je me suis trompé de numéro' en anglais ?","I dialed the wrong number;I forgot the number;I changed my number;I lost my number",0
"Comment dit-on 'to make progress' en français ?","Faire des progrès;Avoir du succès;Prendre de l'avance;Gagner du temps",0
