question,options,correctOptionIndex
"What is the Slovenian word for 'friend'?","Družina;Sosed;Prijatelj;Sovražnik",2
"How do you say 'I have a question' in Slovenian?","Imam odgovor;Imam vprašanje;Imam problem;Imam idejo",1
"What is the correct translation for 'I am learning Slovenian'?","Naučil sem se slovenščino;Učil sem se slovenščino;Bom se učil slovenščino;Učim se slovenščino",3
"What does 'Kaj delaš?' mean?","What do you want?;Where are you going?;How are you?;What are you doing?",3
"How do you say 'I like pizza' in Slovenian?","Obožujem pice;Rad imam pico;Raje imam pico;Sem oboževalec pice",1
"What is the correct form of 'to be' for 'they' (oni)?","si;je;smo;so",3
"Which of these means 'I don't know' in Slovenian?","Nočem;Ne razumem;Ne vem;Ne govorim",2
"What is the Slovenian word for 'school'?","Univerza;Šola;Inštitut;Kolegij",1
"How do you say 'I am happy' in Slovenian?","Imam veselje;Sem vesel/a;Dobro se počutim;Sem srečen/na",3
"What does 'Vseeno mi je' mean?","I love you;I like you;I care about you;I don't care",3
"What is the Slovenian word for 'good night'?","Dobro jutro;Dober večer;Živijo;Lahko noč",3
"How do you say 'I would like to go' in Slovenian?","Hočem iti;Rad bi šel;Želim iti;Všeč mi je iti",1
"What is the correct translation for 'I am tired'?","Zaspan/a sem;Utrujen/a sem;Vesel/a sem;Lacen sem",1
"What does 'Kje je postaja?' mean?","Where is the restaurant?;Where is the hotel?;Where is the station?;Where is the store?",2
"How do you say 'Can you help me?' in Slovenian?","Lahko prideš?;Mi lahko poveš?;Lahko govoriš?;Mi lahko pomagaš?",3
"What is the correct form of 'to have' for 'we' (mi)?","ti imaš;jaz imam;mi imamo;on ima",2
"Which of these means 'See you later' in Slovenian?","Nasvidenje;Živijo;Na svidenje kasneje;Na hitro",2
"What is the Slovenian word for 'please'?","Oprostite;prosim;Hvala;",1
"How do you say 'What is your name?' in Slovenian?","Kje si?;Kako si?;Kako ti je ime?;Koliko stane?",2
"What does 'Oprosti' mean?","Excuse me;I'm sorry;Thank you;Goodbye",1
"What is the Slovenian word for 'water'?","Zrak;Ogenj;Zemlja;Voda",3
"How do you say 'Good morning' in Slovenian?","Dober večer;Dobro jutro;Živijo;nazdravje",1
"Which of these is the correct translation for 'I love you'?","Obožujem te;nenehno te sovražim;ljubim te;Rad/a te imam",2
"What does 'Hvala lepa' mean?","You're welcome;Excuse me;I'm sorry;Thank you very much",3
"How do you ask 'What time is it?' in Slovenian?","Kateri dan je danes?;"Kakšen je današnji datum";"Koliko je ura?" ;"Koliko let imaš?",2
"What is the Slovenian word for 'cat'?","Pes;pav;mačka;nosorog",2
"How do you say 'My name is John' in Slovenian?","Imam Johna;jaz sem John;jaz nisem John ;Moje ime je John",2
"Which of these means 'How are you?' in Slovenian?","Kje greste ? ; Kako si ? ; Kdaj greste ? ; Zakaj greste ?",1
"What is the Slovenian word for 'yes'?","Ne;mogoče;niti;Ja/Da",3
"How do you say 'I don't understand' in Slovenian?","Ne vem;Kdo ne želi;Ne razumem;Ne poznam",2
"What does 'Na svidenje' mean?","Hello;Good night;See you soon;Goodbye",3
"What is the correct translation for 'I am hungry'? ","žejen(na) sem ; Lačen(na) sem ; Utrujen(na) sem ; Bojim se ",1
"What is the Slovenian word for 'book'? ","Zvezek ; Peresnica ; Svinčnik ; Knjiga ",3
"How do you say 'I speak a little Slovenian' in Slovenian? ","Govorim dobro slovenščino ; Ne govorim slovenščine ; Učim se slovenščine ; Govorim malo slovenščine ",3
"What does 'Prosim vas' mean? ","Thank you ; You're welcome ; Excuse me ; Please ",3
"What is the correct translation for 'It's raining'? ","Sneži ; Lepo vreme ; Dežuje ; Toplo vreme ",2
"What is the Slovenian word for 'friend'? ","Sovražnik ; Družina ; Sosed ; Prijatelj ",3
"How do you say 'I like to read' in Slovenian? ","Rad pišem ; Rad berem ; Rad govorim ; Rad poslušam ",1
"What does 'Dober tek' mean? ","Good night! ; Enjoy your meal! ; Cheers! ; Have a nice day!",3
"Which of these means 'Where are the restrooms?' in Slovenian? ","Kje je kuhinja ? ; Kje je soba za ...? ; Kje so stranišča ? ; Kje je dnevna soba ?",2"
What is the Slovenian word for 'hello'?","Živjo;Adijo;Hvala;Prosim",0
"How do you say 'I am from America' in Slovenian?","Sem iz Slovenije;Sem iz Amerike;Sem Američan;Govorim angleško",1
"What does 'Dober dan' mean?","Good morning! ; Good afternoon! ; Good evening! ; Good night!",1
"Which of these is the correct translation for  ‘Can I borrow your pen?’ in Slovenian?", "Ali lahko vzamem tvoj svinčnik ?  ; Ali imaš svinčnik ?  ; Kje je tvoj svinčnik ?  ; Ali lahko daš svoj svinčnik ?", 0
