question,options,correctOptionIndex
"Come si dice 'ticket' in italiano?","Biglietto;Carta;Foglio;Documento",0,"'Biglietto' means 'ticket' in Italian."
"Qual è il mezzo di trasporto più veloce?","Bicicletta;Aereo;Autobus;Treno",1,"'Aereo' (airplane) is generally the fastest mode of transportation."
"Come si chiama il luogo dove si prende l'aereo?","Stazione;Porto;Aeroporto;Fermata",2,"'Aeroporto' means 'airport' in Italian."
"Quale di questi NON è un mezzo di trasporto pubblico?","Autobus;Metropolitana;Taxi;Bicicletta privata",3,"A private bicycle is not a form of public transportation."
"Come si dice 'to book' un viaggio in italiano?","Prenotare;Comprare;Vendere;Cancellare",0,"'Prenotare' means 'to book' in Italian."
"Qual è la parola italiana per 'luggage'?","Valigia;Bagaglio;Borsa;Both A and B",3,"Both 'valigia' and 'bagaglio' can be used to mean 'luggage'."
"Come si chiede l'orario di partenza di un treno?","A che ora parte il treno?;Quando arriva il treno?;Dove va il treno?;Quanto costa il treno?",0,"'A che ora parte il treno?' means 'What time does the train leave?'"
"Quale documento è necessario per viaggiare all'estero?","Patente;Carta d'identità;Passaporto;Tessera sanitaria",2,"A 'passaporto' (passport) is typically required for international travel."
"Come si dice 'round-trip ticket' in italiano?","Biglietto singolo;Biglietto di andata e ritorno;Biglietto giornaliero;Abbonamento",1,"'Biglietto di andata e ritorno' means 'round-trip ticket'."
"Qual è il contrario di 'partenza'?","Arrivo;Viaggio;Ritardo;Cancellazione",0,"'Arrivo' (arrival) is the opposite of 'partenza' (departure)."
"Come si chiede un taxi in italiano?","Posso avere un taxi?;Chiamo un taxi;Dov'è il taxi?;All of the above",3,"All options are valid ways to ask for a taxi in Italian."
"Quale di questi NON è un tipo di treno in Italia?","Freccia Rossa;Intercity;Regionale;Superveloce",3,"'Superveloce' is not a type of train in Italy; it's a made-up name."
"Come si dice 'delayed' in italiano?","Cancellato;In orario;In ritardo;In anticipo",2,"'In ritardo' means 'delayed' in Italian."
"Qual è la parola italiana per 'platform' in una stazione?","Binario;Piattaforma;Strada;Via",0,"'Binario' is the Italian word for 'platform' in a train station."
"Come si chiede il prezzo di un biglietto?","Quanto costa il biglietto?;Dove compro il biglietto?;Quando parte il treno?;Chi vende i biglietti?",0,"'Quanto costa il biglietto?' means 'How much does the ticket cost?'"
"Quale di questi è un sinonimo di 'viaggiare'?","Dormire;Mangiare;Spostarsi;Lavorare",2,"'Spostarsi' (to move) is a synonym for 'viaggiare' (to travel)."
"Come si dice 'car rental' in italiano?","Noleggio auto;Vendita auto;Parcheggio auto;Lavaggio auto",0,"'Noleggio auto' means 'car rental' in Italian."
"Qual è il mezzo di trasporto sotterraneo nelle grandi città?","Tram;Metropolitana;Funicolare;Monorotaia",1,"'Metropolitana' (subway/underground) is the underground transport in big cities."
"Come si chiede indicazioni per una destinazione?","Come si arriva a...?;Quanto dista...?;Dov'è...?;All of the above",3,"All options are valid ways to ask for directions in Italian."
"Quale documento serve per guidare in Italia?","Passaporto;Carta d'identità;Patente di guida;Tessera sanitaria",2,"A 'patente di guida' (driver's license) is required to drive in Italy."
