question,options,correctOptionIndex
"How do you say 'I like to read' in Slovenian? ","Rad/a pišem ; Rad/a berem ; Rad/a govorim ; Rad/a poslušam ",1
"What does 'Dober tek' mean? ","Good night! ; Enjoy your meal! ; Cheers! ; Have a nice day!",3
"Which of these means 'Where are the restrooms?' in Slovenian? ","Kje je kuhinja ? ; Kje je soba za ...? ; Kje so stranišča ? ; Kje je dnevna soba ?",2"
What is the Slovenian word for 'hello'?","Živjo;Adijo;Hvala;Prosim",0
"How do you say 'I am from America' in Slovenian?","Sem iz Slovenije;Sem iz Amerike;Sem Američan;Govorim angleško",1
"What does 'Dober dan' mean?","Good morning! ; Good afternoon! ; Good evening! ; Good night!",1
"Which of these is the correct translation for  ‘Can I borrow your pen?’ in Slovenian?", "Ali lahko vzamem tvoj svinčnik ?  ; Ali imaš svinčnik ?  ; Kje je tvoj svinčnik ?  ; Ali lahko daš svoj svinčnik ?", 0
"Moje ime _____ Ana.","je;sem;so;smo",1
"Danes je zelo _____ in sončno.","hladno;toplo;vetrovno;deževno",1
"Rad _____ testenine s paradižnikovo omako.","jem;pijem;kuham;kupujem",0
"Jaz _____ kavo vsako jutro.","jem;pijem;kuham;kupujem",1
"Moja prijateljica _____ v pisarni v Ljubljani.","študira;dela;živi;potuje",1
"Poleti gremo na _____ na morje.","zimo;pomlad;počitnice;jesen",2
"Oni radi _____ televizijo zvečer.","berejo;gledajo;poslušajo;igrajo",1
"Jaz se _____ slovenščino že dve leti.","govorim;učim;poučujem;pišem",1
"Moj rojstni dan je _____ 15. marca.","na;v;pri;za",0
"Nocoj grem v restavracijo _____ prijatelji.","za;od;s;na",2
"Oprostite, ali mi lahko _____ poveste, kje je železniška postaja?","lahko;smete;morete;znate",0
"Vsako jutro se moram _____ zgodaj.","zbuditi;spati;ležati;sanjati",0
"Ona _____ zelo dobro angleško.","govori;govoriti;govoreč;govoril",0
"Mi _____ v Sloveniji že tri mesece.","smo;imamo;živimo;gremo",2
"Koliko _____ ta knjiga?","stane;plača;velja;stoji",0
"Rad _____ glasbo v prostem času.","poslušam;slišim;gledam;vidim",0
"Oni gredo na počitnice _____ na leto.","enkrat;dvakrat;trikrat;štirikrat",1
"Prosim, _____ bi eno kavo.","hočem;želim;rad;všeč",1
"On vedno _____ zajtrk v kavarni.","je;pije;vzame;naredi",2
"Mi _____ iti v kino nocoj.","letimo;želimo;pridemo;gremo",1
"Kaj _____ tvoj oče po poklicu?","dela;je;ima;stoji",0
"Zelo mi je všeč slovenska _____.","kuhinja;kuhati;kuhar;kuhano",0
"Jaz _____ v Ljubljani že pet let.","živim;stanujem;sem;ostanem",1
"Oni so _____ veseli, da te vidijo.","zelo;malo;preveč;dovolj",0
"Oprostite, ali lahko govorite _____ počasi, prosim?","več;manj;bolj;hitreje",2
"Mi gremo v restavracijo _____ soboto zvečer.","vsak;vsako;vsaka;vsake",1
"Ona vedno _____ zelo elegantna oblačila.","nosi;obleče;vzame;da",0
"Jaz _____ avtobus za v službo.","vzamem;grem;uporabljam;vstopim",0
"Koliko časa _____ do centra mesta?","je;traja;gre;vozi",1
"Rad _____ sprehod ob nedeljah zjutraj.","grem;hodim;naredim;vzamem",2
"Oni _____ v fitnes trikrat na teden.","hodijo;pridejo;tečejo;igrajo",0
"Jaz bom _____ rojstni dan naslednji mesec.","imel;praznoval;spominjal;dobil",1
"Mi se učimo slovenščino _____ na teden.","enkrat;dvakrat;trikrat;štirikrat",1
"Ona vedno _____ zajtrk v postelji.","je;pije;vzame;naredi",2
"Rad _____ televizijo zvečer.","vidim;gledam;opazujem;kontroliram",1
"Oni so šli na počitnice _____ poletje.","zadnje;prejšnje;naslednje;to",1
"Jaz _____ nakupe v supermarketu vsak ponedeljek.","kupujem;delam;vzamem;grem",1
"Mi smo zelo _____ da te spoznamo.","veseli;srečni;zadovoljni;dobri",0
"Koliko je _____ od tukaj do glavne železniške postaje?","daleč;blizu;dolgo;hitro",0
